Method,Total Queries,Total Matches,Matches/Query,Top-1 Quality,Avg Quality,High Quality %,Label Jaccard,Avg IoU,Match Rate,Visual Score,Semantic Score,Geometric Score,Avg Inliers
Baseline A (Visual+Semantic),10,55,5.5,0.5004272727272728,0.4790490909090908,38.18181818181819,0.8363854545454545,0.2523018181818181,0.17890545454545456,0.8737127272727272,0.8363854545454545,,
Baseline B (Geometric),10,50,5.0,0.35592,0.344602,4.0,0.5590160000000001,0.19057399999999997,0.089958,,,1.0,4.02
Full Pipeline (Multi-Modal),10,50,5.0,0.48152,0.46148199999999995,28.000000000000004,0.80622,0.241766,0.16515000000000002,0.868846,0.80622,0.9,3.76
