timestamp,query_id,rank,match_id,final_confidence,visual_score,semantic_score,depth_score,geometric_score,num_inliers,is_invariant,label_jaccard,avg_iou,match_rate,overall_quality_score
2025-11-23 08:43:42,autumn_0000,1,winter_0413,0.8307,0.8641,0.8571,0.5000,1.0000,4,False,0.8571,0.3034,0.2857,0.5213
2025-11-23 08:43:42,autumn_0000,2,winter_0267,0.8239,0.8417,0.8571,0.5000,1.0000,4,False,0.8571,0.3486,0.1429,0.5109
2025-11-23 08:43:42,autumn_0000,3,winter_0814,0.8167,0.8704,0.7778,0.5000,1.0000,4,False,0.7778,0.4935,0.5714,0.6228
2025-11-23 08:43:42,autumn_0000,4,winter_0746,0.8123,0.8557,0.7778,0.5000,1.0000,4,False,0.7778,0.3767,0.1429,0.4903
2025-11-23 08:43:42,autumn_0000,5,winter_0409,0.8118,0.8725,0.7500,0.5000,1.0000,4,False,0.7500,0.4572,0.4286,0.5936
2025-11-23 10:02:51,autumn_0305,1,winter_0345,0.8235,0.8560,0.8333,0.5000,1.0000,4,False,0.8333,0.2256,0.1667,0.4569
2025-11-23 10:02:51,autumn_0305,2,winter_1220,0.8026,0.8657,0.7143,0.5000,1.0000,4,False,0.7143,0.2391,0.1667,0.4432
2025-11-23 10:02:51,autumn_0305,3,winter_0752,0.8022,0.8644,0.7143,0.5000,1.0000,4,False,0.7143,0.2359,0.1667,0.4420
2025-11-23 10:02:51,autumn_0305,4,winter_0840,0.7995,0.8554,0.7143,0.5000,1.0000,4,False,0.7143,0.2546,0.1667,0.4494
2025-11-23 10:02:51,autumn_0305,5,winter_1231,0.7978,0.8499,0.7143,0.5000,1.0000,4,False,0.7143,0.2525,0.1667,0.4486
2025-11-23 11:10:05,autumn_0864,1,winter_0686,0.7912,0.8596,0.6667,0.5000,1.0000,4,False,0.6667,0.4471,0.4000,0.5588
2025-11-23 11:10:05,autumn_0864,2,winter_0265,0.7905,0.8571,0.6667,0.5000,1.0000,4,False,0.6667,0.2316,0.2000,0.4326
2025-11-23 11:10:05,autumn_0864,3,winter_0763,0.7888,0.8516,0.6667,0.5000,1.0000,5,False,0.6667,0.5150,0.6000,0.6260
2025-11-23 11:10:05,autumn_0864,4,winter_1148,0.7887,0.8512,0.6667,0.5000,1.0000,4,False,0.6667,0.2093,0.0000,0.3837
2025-11-23 11:10:05,autumn_0864,5,winter_0259,0.7882,0.8494,0.6667,0.5000,1.0000,4,False,0.6667,0.3356,0.0000,0.4342
2025-11-23 12:18:23,autumn_1136,1,winter_0259,0.7976,0.8809,0.6667,0.5000,1.0000,4,False,0.6667,0.2417,0.2000,0.4367
2025-11-23 12:18:23,autumn_1136,2,winter_0197,0.7949,0.9163,0.6000,0.5000,1.0000,4,False,0.6000,0.0619,0.0000,0.2647
